KO	superclass
K07443	DNA replication/repair/maintenance
K07444	DNA replication/repair/maintenance
K07447	RNA processing/degradation
K07448	Defense systems
K07449	DNA replication/repair/maintenance
K07451	Carbohydrate metabolism
K07452	Carbohydrate metabolism
K07455	DNA replication/repair/maintenance
K07456	DNA replication/repair/maintenance
K07457	Defense systems
K07458	DNA replication/repair/maintenance
K07459	Defense systems
K07460	Defense systems
K07461	Defense systems
K07462	DNA replication/repair/maintenance
K07464	Defense systems
K07465	Defense systems
K07467	DNA replication/repair/maintenance
K07470	DNA replication/repair/maintenance
K07473	DNA replication/repair/maintenance
K07474	Viral processes
K07478	Energy/central carbon
K07479	DNA replication/repair/maintenance
K07480	Mobilome
K07482	Mobilome
K07483	Mobilome
K07484	Mobilome
K07485	Mobilome
K07486	Mobilome
K07487	Mobilome
K07490	Transport
K07491	Tryptophan metabolism
K07492	Mobilome
K07493	Mobilome
K07496	Mobilome
K07497	Mobilome
K07498	Mobilome
K07504	Defense systems
K07505	Transcriptional regulation
K07506	Transcriptional regulation
K07507	Transport
K07533	Energy/central carbon
K07535	Carbohydrate metabolism
K07552	Antibiotic resistance/efflux
K07559	RNA processing/degradation
K07560	RNA processing/degradation
K07566	Carbohydrate metabolism
K07568	RNA processing/degradation
K07570	Defense systems
K07571	RNA processing/degradation
K07574	RNA processing/degradation
K07584	Other
K07586	Other
K07589	Energy/central carbon
K07592	Transcriptional regulation
K07636	Signal transduction
K07637	Signal transduction
K07638	Signal transduction
K07639	Signal transduction
K07640	Signal transduction
K07641	Signal transduction
K07642	Signal transduction
K07643	Signal transduction
K07644	Signal transduction
K07645	Signal transduction
K07646	Signal transduction
K07648	Signal transduction
K07649	Signal transduction
K07652	Signal transduction
K07657	Signal transduction
K07658	Signal transduction
K07659	Signal transduction
K07660	Signal transduction
K07661	Signal transduction
K07662	Signal transduction
K07663	Signal transduction
K07664	Signal transduction
K07665	Signal transduction
K07666	Signal transduction
K07667	Signal transduction
K07668	Signal transduction
K07673	Signal transduction
K07674	Signal transduction
K07675	Signal transduction
K07676	Signal transduction
K07677	Signal transduction
K07678	Signal transduction
K07681	Signal transduction
K07683	Signal transduction
K07686	Signal transduction
K07687	Signal transduction
K07689	Signal transduction
K07693	Signal transduction
K07694	Signal transduction
K07696	Signal transduction
K07700	Signal transduction
K07701	Signal transduction
K07702	Signal transduction
K07703	Signal transduction
K07704	Signal transduction
K07705	Signal transduction
K07706	Signal transduction
K07707	Signal transduction
K07708	Signal transduction
K07711	Signal transduction
K07712	Transcriptional regulation
K07714	Signal transduction
K07715	Signal transduction
K07717	Signal transduction
K07718	Signal transduction
K07719	Signal transduction
K07720	Signal transduction
K07723	Transcriptional regulation
K07724	Transcriptional regulation
K07726	Transcriptional regulation
K07727	Transcriptional regulation
K07729	Transcriptional regulation
K07733	Transcriptional regulation
K07735	Transcriptional regulation
K07736	Transcriptional regulation
K07738	RNA processing/degradation
K07740	Transcriptional regulation
K07741	Other
K07742	Other
K07749	Carbohydrate metabolism
K07751	Carbohydrate metabolism
K07757	Carbohydrate metabolism
K07771	Signal transduction
K07773	Amino acid metabolism
K07774	Signal transduction
K07777	Signal transduction
K07778	Signal transduction
K07781	Transcriptional regulation
K07782	Transcriptional regulation
K07783	Transport
K07784	Antibiotic resistance/efflux
K07787	Antibiotic resistance/efflux
K07788	Antibiotic resistance/efflux
K07789	Antibiotic resistance/efflux
K07791	Transport
K07792	Transport
K07795	Transport
K07796	Antibiotic resistance/efflux
K07798	Antibiotic resistance/efflux
K07799	Antibiotic resistance/efflux
K07806	Energy/central carbon
K07810	Antibiotic resistance/efflux
K07812	Amino acid metabolism
K07813	Other
K07816	Carbohydrate metabolism
K07862	Transport
K07979	Transcriptional regulation
K08068	Energy/central carbon
K08070	Other
K08077	Carbohydrate metabolism
K08086	Motility/adhesion
K08093	Energy/central carbon
K08094	Energy/central carbon
K08097	Carbohydrate metabolism
K08100	Energy/central carbon
K08137	Transport
K08139	Transport
K08151	Antibiotic resistance/efflux
K08152	Antibiotic resistance/efflux
K08153	Antibiotic resistance/efflux
K08154	Antibiotic resistance/efflux
K08156	Transport
K08159	Transport
K08160	Antibiotic resistance/efflux
K08161	Antibiotic resistance/efflux
K08162	Antibiotic resistance/efflux
K08163	Antibiotic resistance/efflux
K08164	Antibiotic resistance/efflux
K08166	Antibiotic resistance/efflux
K08167	Antibiotic resistance/efflux
K08169	Antibiotic resistance/efflux
K08170	Antibiotic resistance/efflux
K08172	Tryptophan metabolism
K08173	Antibiotic resistance/efflux
K08174	Antibiotic resistance/efflux
K08177	Transport
K08178	Transport
K08191	Antibiotic resistance/efflux
K08194	Transport
K08195	Antibiotic resistance/efflux
K08196	Antibiotic resistance/efflux
K08217	Antibiotic resistance/efflux
K08218	Antibiotic resistance/efflux
K08219	Transport
K08221	Antibiotic resistance/efflux
K08223	Antibiotic resistance/efflux
K08224	Transport
K08225	Antibiotic resistance/efflux
K08227	Transport
K08234	Amino acid metabolism
K08261	Carbohydrate metabolism
K08276	Other
K08279	Transcriptional regulation
K08281	Other
K08289	Carbohydrate metabolism
K08296	Carbohydrate metabolism
K08300	Translation/ribosome
K08301	Translation/ribosome
K08302	Energy/central carbon
K08303	Carbohydrate metabolism
K08304	Cell envelope/biogenesis
K08305	Cell envelope/biogenesis
K08306	Cell envelope/biogenesis
K08307	Cell envelope/biogenesis
K08308	Cell envelope/biogenesis
K08309	Cell envelope/biogenesis
K08310	Carbohydrate metabolism
K08311	Nucleotide metabolism
K08312	Energy/central carbon
K08313	Energy/central carbon
K08314	Energy/central carbon
K08315	Protein folding/quality control
K08316	RNA processing/degradation
K08317	Other
K08318	Other
K08319	Other
K08320	Carbohydrate metabolism
K08321	Energy/central carbon
K08322	Energy/central carbon
K08323	Energy/central carbon
K08324	Energy/central carbon
K08325	Energy/central carbon
K08344	Antibiotic resistance/efflux
K08348	SCFA fermentation
K08349	SCFA fermentation
K08350	SCFA fermentation
K08351	Amino acid metabolism
K08364	Transcriptional regulation
K08365	Transcriptional regulation
K08368	Transport
K08369	Transport
K08483	Carbohydrate metabolism
K08484	Carbohydrate metabolism
K08485	Energy/central carbon
K08591	Lipid metabolism
K08602	Carbohydrate metabolism
K08641	Carbohydrate metabolism
K08659	Carbohydrate metabolism
K08676	Protein folding/quality control
K08677	Cell envelope/biogenesis
K08679	Energy/central carbon
K08680	Energy/central carbon
K08682	Lipid metabolism
K08693	Nucleotide metabolism
K08715	Transport
K08721	Antibiotic resistance/efflux
K08722	Carbohydrate metabolism
K08723	Nucleotide metabolism
K08724	Cell envelope/biogenesis
K08728	Nucleotide metabolism
K08738	Cofactors/vitamins
K08744	Carbohydrate metabolism
K08884	Amino acid metabolism
K08963	Energy/central carbon
K08964	Energy/central carbon
K08967	Energy/central carbon
K08968	Amino acid metabolism
K08969	Carbohydrate metabolism
K08970	Transport
K08972	Transport
K08973	Energy/central carbon
K08974	Transport
K08981	Transport
K08987	Transport
K08990	Transport
K08992	Cell envelope/biogenesis
K08993	Transport
K08994	Transport
K08995	Transport
K08996	Transport
K08997	Carbohydrate metabolism
K08998	Other
K09000	Defense systems
K09001	Energy/central carbon
K09003	Other
K09004	Other
K09005	Other
K09013	Other
K09014	Other
K09015	Other
K09016	Transport
K09017	Antibiotic resistance/efflux
K09018	Nucleotide metabolism
K09019	Other
K09020	Other
K09021	Other
K09022	Carbohydrate metabolism
K09023	Other
K09024	Cofactors/vitamins
K09065	Amino acid metabolism
K09117	Other
K09121	Energy/central carbon
K09125	Transport
K09131	Other
K09136	Translation/ribosome
K09153	Transport
K09155	Other
K09157	Other
K09159	Defense systems
K09160	Other
K09161	Other
K09167	Other
K09181	Carbohydrate metabolism
K09250	Other
K09251	Carbohydrate metabolism
K09384	Other
K09456	Carbohydrate metabolism
K09457	Other
K09458	Lipid metabolism
K09470	Other
K09471	Energy/central carbon
K09473	Synaptic pathways
K09474	Translation/ribosome
K09475	Transport
K09476	Transport
K09565	Energy/central carbon
K09612	Carbohydrate metabolism
K09684	Transcriptional regulation
K09685	Transcriptional regulation
K09688	Transport
K09689	Transport
K09690	Transport
K09691	Transport
K09692	Transport
K09693	Transport
K09694	Transport
K09695	Transport
K09697	Transport
K09698	Translation/ribosome
K09699	Energy/central carbon
K09702	Other
K09703	Other
K09704	Other
K09705	Other
K09710	Defense systems
K09712	Other
K09747	Defense systems
K09748	Translation/ribosome
K09758	Amino acid metabolism
K09760	DNA replication/repair/maintenance
K09761	RNA processing/degradation
K09762	Cell envelope/biogenesis
K09765	Other
K09767	Energy/central carbon
K09768	Other
K09769	Nucleotide metabolism
K09771	Antibiotic resistance/efflux
K09772	Cell envelope/biogenesis
K09773	Carbohydrate metabolism
K09774	Cell envelope/biogenesis
K09779	Other
K09780	Other
K09781	Other
K09786	Other
K09787	Other
K09790	Other
K09791	Other
K09795	Other
K09796	Protein folding/quality control
K09798	Other
K09800	Other
K09801	Other
K09802	Other
K09803	Other
K09806	Cofactors/vitamins
K09807	Other
K09808	Transport
K09809	Carbohydrate metabolism
K09810	Transport
K09811	Transport
K09812	Cell envelope/biogenesis
K09815	Transport
K09816	Transport
K09817	Transport
K09818	Transport
K09819	Transport
K09820	Transport
K09823	Transcriptional regulation
K09824	Other
K09825	Transcriptional regulation
K09835	Energy/central carbon
K09857	Transport
K09861	Other
K09862	Other
K09879	Motility/adhesion
K09880	Carbohydrate metabolism
K09882	Carbohydrate metabolism
K09883	Energy/central carbon
K09888	Cell envelope/biogenesis
K09889	Defense systems
K09890	Translation/ribosome
K09891	Other
K09892	Cell envelope/biogenesis
K09893	Translation/ribosome
K09895	Other
K09897	Other
K09898	Other
K09899	Other
K09901	Other
K09903	Carbohydrate metabolism
K09904	Other
K09906	Translation/ribosome
K09908	Other
K09909	Other
K09910	Other
K09911	Other
K09912	Other
K09913	Nucleotide metabolism
K09914	Transport
K09915	Other
K09916	Other
K09918	Other
K09919	Other
K09920	Other
K09921	Other
K09923	Other
K09927	Other
K09931	Other
K09933	Carbohydrate metabolism
K09936	Transport
K09937	Other
K09945	Other
K09949	Cell envelope/biogenesis
K09951	Defense systems
K09952	Defense systems
K09955	Other
K09958	Other
K09960	Other
K09961	Other
K09962	Other
K09963	Other
K09969	Transport
K09970	Transport
K09971	Transport
K09972	Transport
K09973	Other
K09975	Other
K09976	Other
K09978	Other
K09979	Other
K09985	Other
K09986	Other
K09987	Other
K09988	Energy/central carbon
K09991	Other
K09994	Amino acid metabolism
K09996	Transport
K09997	Transport
K09998	Transport
K09999	Transport
K10000	Transport
K10001	Transport
K10002	Transport
K10003	Transport
K10004	Transport
K10005	Transport
K10008	Transport
K10009	Transport
K10010	Transport
K10011	Energy/central carbon
K10012	Carbohydrate metabolism
K10013	Transport
K10014	Transport
K10015	Transport
K10016	Transport
K10017	Transport
K10019	Transport
K10020	Transport
K10021	Transport
K10024	Transport
K10026	Other
K10027	Lipid metabolism
K10036	Transport
K10037	Transport
K10038	Transport
K10039	Transport
K10040	Transport
K10041	Transport
K10107	Transport
K10108	Transport
K10109	Transport
K10110	Transport
K10111	Transport
K10112	Transport
K10117	Transport
K10118	Transport
K10119	Transport
K10120	Transport
K10121	Transport
K10122	Transport
K10125	Signal transduction
K10126	Signal transduction
K10188	Transport
K10190	Transport
K10200	Transport
K10202	Transport
K10206	Carbohydrate metabolism
K10208	Carbohydrate metabolism
K10213	Carbohydrate metabolism
K10218	Energy/central carbon
K10219	Energy/central carbon
K10236	Transport
K10237	Transport
K10238	Transport
K10253	Synaptic pathways
K10254	Energy/central carbon
K10353	Carbohydrate metabolism
K10439	Transport
K10440	Transport
K10441	Transport
K10530	SCFA fermentation
K10531	Amino acid metabolism
K10536	Carbohydrate metabolism
K10537	Transport
K10538	Transport
K10539	Transport
K10540	Transport
K10541	Transport
K10542	Transport
K10543	Transport
K10544	Transport
K10545	Transport
K10547	Transport
K10551	Transport
K10555	Transport
K10556	Transport
K10557	Transport
K10558	Transport
K10562	Transport
K10563	DNA replication/repair/maintenance
K10617	Energy/central carbon
K10678	Other
K10679	Other
K10680	Other
K10708	Carbohydrate metabolism
K10710	Transport
K10711	Transcriptional regulation
K10715	Signal transduction
K10716	Transport
K10764	Other
K10773	DNA replication/repair/maintenance
K10778	Transcriptional regulation
K10793	Amino acid metabolism
K10804	Carbohydrate metabolism
K10805	Carbohydrate metabolism
K10806	Carbohydrate metabolism
K10810	Transcriptional regulation
K10823	Transport
K10830	Transport
K10831	Transport
K10834	Transport
K10851	Other
K10857	DNA replication/repair/maintenance
K10914	Transcriptional regulation
K10947	Transcriptional regulation
K10974	Transport
K10975	Transport
K10984	Carbohydrate metabolism
K10985	Carbohydrate metabolism
K10986	Carbohydrate metabolism
K11021	Defense systems
K11041	Defense systems
K11050	Antibiotic resistance/efflux
K11051	Antibiotic resistance/efflux
K11065	Energy/central carbon
K11066	Amino acid metabolism
K11068	Other
K11069	Transport
K11070	Transport
K11071	Transport
K11072	Transport
K11073	Transport
K11074	Transport
K11075	Transport
K11076	Transport
K11085	Transport
K11102	Transport
K11103	Transport
K11104	Transport
K11105	Transport
K11144	DNA replication/repair/maintenance
K11145	RNA processing/degradation
K11175	Carbohydrate metabolism
K11177	Carbohydrate metabolism
K11178	Cofactors/vitamins
K11179	Translation/ribosome
K11183	Energy/central carbon
K11192	Carbohydrate metabolism
K11194	Carbohydrate metabolism
K11195	Carbohydrate metabolism
K11196	Carbohydrate metabolism
K11200	Carbohydrate metabolism
K11201	Carbohydrate metabolism
K11202	Carbohydrate metabolism
K11203	Carbohydrate metabolism
K11206	Amino acid metabolism
K11208	Carbohydrate metabolism
K11209	Energy/central carbon
K11249	Antibiotic resistance/efflux
K11250	Antibiotic resistance/efflux
K11258	Carbohydrate metabolism
K11312	Translation/ribosome
K11391	RNA processing/degradation
K11392	RNA processing/degradation
K11441	Other
K11473	Transport
K11474	Transcriptional regulation
K11524	DNA replication/repair/maintenance
K11527	Signal transduction
K11529	Carbohydrate metabolism
K11530	Energy/central carbon
K11531	Transcriptional regulation
K11532	Carbohydrate metabolism
K11534	Transcriptional regulation
K11535	Transport
K11537	Antibiotic resistance/efflux
K11604	Transport
K11605	Transport
K11606	Transport
K11607	Transport
K11614	Signal transduction
K11615	Signal transduction
K11616	Transport
K11617	Signal transduction
K11618	Signal transduction
K11621	Other
K11622	Transcriptional regulation
K11623	Signal transduction
K11635	Transport
K11645	Energy/central carbon
K11685	DNA replication/repair/maintenance
K11693	Cell envelope/biogenesis
K11695	Cell envelope/biogenesis
K11704	Transport
K11705	Transport
K11706	Transport
K11707	Transport
K11709	Transport
K11710	Transport
K11717	Amino acid metabolism
K11719	Cell envelope/biogenesis
K11720	Transport
K11732	Tryptophan metabolism
K11733	Transport
K11734	Transport
K11735	Synaptic pathways
K11736	Transport
K11737	Transport
K11738	Transport
K11741	Signal transduction
K11742	Transport
K11743	Transport
K11744	Transport
K11745	Antibiotic resistance/efflux
K11746	Antibiotic resistance/efflux
K11747	Antibiotic resistance/efflux
K11748	Antibiotic resistance/efflux
K11749	Protein folding/quality control
K11750	Carbohydrate metabolism
K11751	Carbohydrate metabolism
K11752	Energy/central carbon
K11753	Cofactors/vitamins
K11754	Translation/ribosome
K11755	Carbohydrate metabolism
K11811	Antibiotic resistance/efflux
K11814	Antibiotic resistance/efflux
K11815	Antibiotic resistance/efflux
K11891	Transport
K11892	Transport
K11893	Transport
K11895	Transport
K11896	Transport
K11900	Transport
K11901	Transport
K11903	Transport
K11904	Transport
K11905	Transport
K11906	Transport
K11907	Transport
K11910	Transport
K11911	Transport
K11922	Transcriptional regulation
K11923	Transcriptional regulation
K11924	Transport
K11925	Transcriptional regulation
K11926	Transcriptional regulation
K11927	DNA replication/repair/maintenance
K11928	Transport
K11929	Transport
K11931	Carbohydrate metabolism
K11932	Transcriptional regulation
K11933	Energy/central carbon
K11935	Motility/adhesion
K11936	Carbohydrate metabolism
K11937	Motility/adhesion
K11938	Carbohydrate metabolism
K11939	Transport
K11940	Transcriptional regulation
K11941	Other
K11959	Transport
K11960	Transport
K11961	Transport
K11962	Transport
K11963	Transport
K11991	RNA processing/degradation
K12071	Motility/adhesion
K12085	Transport
K12132	Amino acid metabolism
K12136	Other
K12137	Other
K12141	Other
K12142	Other
K12143	Other
K12147	Other
K12148	Motility/adhesion
K12149	DNA replication/repair/maintenance
K12151	Transcriptional regulation
K12152	Carbohydrate metabolism
K12204	Mobilome
K12216	Other
K12238	Lipid metabolism
K12257	Carbohydrate metabolism
K12262	Energy/central carbon
K12264	Amino acid metabolism
K12265	Cofactors/vitamins
K12266	Transcriptional regulation
K12267	Amino acid metabolism
K12268	Transport
K12269	Transport
K12270	Transport
K12288	Motility/adhesion
K12289	Motility/adhesion
K12290	Motility/adhesion
K12292	Carbohydrate metabolism
K12293	Transport
K12294	Signal transduction
K12296	Mobilome
K12297	RNA processing/degradation
K12308	Carbohydrate metabolism
K12339	Amino acid metabolism
K12340	Transport
K12343	Carbohydrate metabolism
K12368	Transport
K12369	Transport
K12370	Transport
K12371	Transport
K12372	Transport
K12373	Carbohydrate metabolism
K12409	Carbohydrate metabolism
K12410	Cofactors/vitamins
K12450	Energy/central carbon
K12500	Other
K12506	Carbohydrate metabolism
K12516	Energy/central carbon
K12524	Carbohydrate metabolism
K12525	Carbohydrate metabolism
K12527	Other
K12543	Transport
K12549	Energy/central carbon
K12551	Carbohydrate metabolism
K12552	Cell envelope/biogenesis
K12553	Cell envelope/biogenesis
K12554	Amino acid metabolism
K12555	Cell envelope/biogenesis
K12556	Cell envelope/biogenesis
K12573	Translation/ribosome
K12574	Translation/ribosome
K12582	Energy/central carbon
K12658	Energy/central carbon
K12678	Motility/adhesion
K12687	Cell envelope/biogenesis
K12700	Carbohydrate metabolism
K12940	Amino acid metabolism
K12941	Amino acid metabolism
K12942	Transport
K12943	Transport
K12944	Nucleotide metabolism
K12952	Transport
K12955	Transport
K12957	Energy/central carbon
K12960	Carbohydrate metabolism
K12961	DNA replication/repair/maintenance
K12962	Carbohydrate metabolism
K12963	Carbohydrate metabolism
K12972	Energy/central carbon
K12973	Lipid metabolism
K12974	Lipid metabolism
K12975	Other
K12979	Other
K12984	Carbohydrate metabolism
K12990	Carbohydrate metabolism
K12996	Carbohydrate metabolism
K12997	Carbohydrate metabolism
K12999	Carbohydrate metabolism
K13007	Carbohydrate metabolism
K13012	Cell envelope/biogenesis
K13013	Cell envelope/biogenesis
K13014	Carbohydrate metabolism
K13020	Carbohydrate metabolism
K13038	Amino acid metabolism
K13051	Carbohydrate metabolism
K13052	Cell envelope/biogenesis
K13053	Cell envelope/biogenesis
K13060	Carbohydrate metabolism
K13069	Carbohydrate metabolism
K13075	Carbohydrate metabolism
K13252	Carbohydrate metabolism
K13255	Transport
K13256	Other
K13283	Transport
K13288	Carbohydrate metabolism
K13292	Carbohydrate metabolism
K13301	Transport
K13378	Energy/central carbon
K13408	Transport
K13409	Transport
K13472	Carbohydrate metabolism
K13481	Carbohydrate metabolism
K13482	Carbohydrate metabolism
K13483	Transport
K13485	Energy/central carbon
K13497	Tryptophan metabolism
K13498	Tryptophan metabolism
K13503	Tryptophan metabolism
K13529	Transcriptional regulation
K13530	Transcriptional regulation
K13531	Amino acid metabolism
K13541	Carbohydrate metabolism
K13542	Carbohydrate metabolism
K13543	Carbohydrate metabolism
K13566	Carbohydrate metabolism
K13581	DNA replication/repair/maintenance
K13582	Other
K13583	Cell envelope/biogenesis
K13584	Signal transduction
K13598	Signal transduction
K13599	Transcriptional regulation
K13613	Secondary metabolism
K13620	DNA replication/repair/maintenance
K13628	Other
K13629	Transport
K13630	Transport
K13631	Transcriptional regulation
K13632	Transcriptional regulation
K13634	Transcriptional regulation
K13635	Transcriptional regulation
K13636	Transcriptional regulation
K13638	Transcriptional regulation
K13639	Transcriptional regulation
K13641	Transcriptional regulation
K13650	Motility/adhesion
K13652	Transcriptional regulation
K13653	Transcriptional regulation
K13654	Transcriptional regulation
K13657	Carbohydrate metabolism
K13659	Other
K13662	DNA replication/repair/maintenance
K13677	Carbohydrate metabolism
K13678	Carbohydrate metabolism
K13683	Carbohydrate metabolism
K13684	Carbohydrate metabolism
K13688	Carbohydrate metabolism
K13694	Carbohydrate metabolism
K13695	Transport
K13713	Carbohydrate metabolism
K13714	Carbohydrate metabolism
K13727	Energy/central carbon
K13730	DNA replication/repair/maintenance
K13731	DNA replication/repair/maintenance
K13735	Motility/adhesion
K13745	Energy/central carbon
K13771	Transcriptional regulation
K13788	SCFA fermentation
K13789	Carbohydrate metabolism
K13810	Energy/central carbon
K13816	Other
K13821	Amino acid metabolism
K13829	Tryptophan metabolism
K13832	Tryptophan metabolism
K13854	Antibiotic resistance/efflux
K13877	Other
K13888	Antibiotic resistance/efflux
K13889	Transport
K13890	Transport
K13891	Transport
K13892	Transport
K13893	Transport
K13894	Transport
K13895	Transport
K13896	Transport
K13918	Energy/central carbon
K13919	Energy/central carbon
K13920	Energy/central carbon
K13921	Energy/central carbon
K13922	Energy/central carbon
K13923	Carbohydrate metabolism
K13926	Translation/ribosome
K13927	Carbohydrate metabolism
K13928	Transcriptional regulation
K13929	Carbohydrate metabolism
K13930	Carbohydrate metabolism
K13931	Energy/central carbon
K13932	Energy/central carbon
K13933	Energy/central carbon
K13934	Carbohydrate metabolism
K13935	Carbohydrate metabolism
K13936	Energy/central carbon
K13938	Translation/ribosome
K13940	Energy/central carbon
K13950	Translation/ribosome
K13953	Energy/central carbon
K13954	Energy/central carbon
K13979	Cofactors/vitamins
K13993	RNA processing/degradation
K14048	Other
K14051	Nucleotide metabolism
K14052	Transport
K14053	Transport
K14054	Amino acid metabolism
K14055	Transcriptional regulation
K14056	Transcriptional regulation
K14057	Transcriptional regulation
K14058	Translation/ribosome
K14059	Mobilome
K14060	Viral processes
K14061	Transcriptional regulation
K14062	Transport
K14063	Transcriptional regulation
K14064	Transcriptional regulation
K14088	Other
K14090	Other
K14153	Carbohydrate metabolism
K14155	Amino acid metabolism
K14159	DNA replication/repair/maintenance
K14160	Other
K14170	Tryptophan metabolism
K14187	Tryptophan metabolism
K14188	Amino acid metabolism
K14189	Other
K14192	Other
K14193	Energy/central carbon
K14194	Amino acid metabolism
K14205	Carbohydrate metabolism
K14257	Antibiotic resistance/efflux
K14260	Amino acid metabolism
K14261	Amino acid metabolism
K14268	Synaptic pathways
K14274	Carbohydrate metabolism
K14287	Amino acid metabolism
K14347	Transport
K14348	Transcriptional regulation
K14392	Transport
K14393	Transport
K14394	Carbohydrate metabolism
K14441	Translation/ribosome
K14445	Transport
K14540	Translation/ribosome
K14588	Other
K14591	Other
K14645	Protein folding/quality control
K14652	Energy/central carbon
K14665	Other
K14681	Carbohydrate metabolism
K14682	Carbohydrate metabolism
K14731	Carbohydrate metabolism
K14742	RNA processing/degradation
K14744	Cell envelope/biogenesis
K14761	Defense systems
K14762	Defense systems
K14977	Other
K14979	Signal transduction
K14980	Signal transduction
K14981	Signal transduction
K14982	Signal transduction
K14983	Signal transduction
K15011	Signal transduction
K15024	Carbohydrate metabolism
K15034	Defense systems
K15051	DNA replication/repair/maintenance
K15125	Other
K15228	Translation/ribosome
K15229	Translation/ribosome
K15256	Translation/ribosome
K15257	Translation/ribosome
K15268	Antibiotic resistance/efflux
K15269	Transport
K15270	Transport
K15314	Secondary metabolism
K15327	Secondary metabolism
K15329	Secondary metabolism
K15342	Defense systems
K15372	Amino acid metabolism
K15460	RNA processing/degradation
K15461	Translation/ribosome
K15515	Other
K15524	Carbohydrate metabolism
K15531	DNA replication/repair/maintenance
K15532	Carbohydrate metabolism
K15533	Carbohydrate metabolism
K15536	Cofactors/vitamins
K15539	Cell envelope/biogenesis
K15540	Protein folding/quality control
K15545	Transcriptional regulation
K15547	Antibiotic resistance/efflux
K15548	Antibiotic resistance/efflux
K15549	Antibiotic resistance/efflux
K15551	Transport
K15552	Transport
K15553	Transport
K15554	Transport
K15555	Transport
K15576	Transport
K15577	Transport
K15578	Antibiotic resistance/efflux
K15580	Transport
K15581	Transport
K15582	Transport
K15583	Transport
K15587	Transport
K15598	Transport
K15599	Transport
K15600	Transport
K15629	Energy/central carbon
K15633	Energy/central carbon
K15634	Energy/central carbon
K15640	Other
K15722	Cell envelope/biogenesis
K15724	Other
K15725	Antibiotic resistance/efflux
K15726	Antibiotic resistance/efflux
K15727	Antibiotic resistance/efflux
K15738	Transport
K15770	Transport
K15771	Transport
K15772	Transport
K15773	Transcriptional regulation
K15777	Synaptic pathways
K15778	Energy/central carbon
K15780	Translation/ribosome
K15827	SCFA fermentation
K15828	SCFA fermentation
K15829	SCFA fermentation
K15830	SCFA fermentation
K15831	SCFA fermentation
K15832	SCFA fermentation
K15833	Transcriptional regulation
K15834	Translation/ribosome
K15836	Transcriptional regulation
K15852	Transcriptional regulation
K15856	Carbohydrate metabolism
K15861	Transcriptional regulation
K15866	Energy/central carbon
K15918	Carbohydrate metabolism
K15921	Other
K15922	Other
K15923	Other
K15924	Carbohydrate metabolism
K15974	Transcriptional regulation
K15975	Other
K15977	Energy/central carbon
K15984	RNA processing/degradation
K15986	Carbohydrate metabolism
K16011	Carbohydrate metabolism
K16012	Transport
K16013	Transport
K16044	Energy/central carbon
K16052	Transport
K16053	Transport
K16066	Energy/central carbon
K16074	Transport
K16076	Transport
K16087	Transport
K16088	Transport
K16089	Transport
K16090	Signal transduction
K16091	Transport
K16092	Transport
K16136	Transcriptional regulation
K16137	Antibiotic resistance/efflux
K16139	Carbohydrate metabolism
K16150	Carbohydrate metabolism
K16164	Carbohydrate metabolism
K16165	Other
K16169	Transport
K16209	Transport
K16210	Transport
K16211	Transport
K16214	Cell envelope/biogenesis
K16235	Transport
K16236	Transport
K16238	Transport
K16263	Antibiotic resistance/efflux
K16264	Antibiotic resistance/efflux
K16291	Other
K16301	Energy/central carbon
K16321	Transport
K16322	Transport
K16323	Transport
K16326	Transcriptional regulation
K16328	Carbohydrate metabolism
K16345	Transport
K16347	Other
K16348	Other
K16370	Carbohydrate metabolism
K16371	Energy/central carbon
K16509	RNA processing/degradation
K16511	Other
K16554	Transport
K16555	Other
K16649	Other
K16651	Amino acid metabolism
K16692	Tryptophan metabolism
K16693	Cell envelope/biogenesis
K16695	Cell envelope/biogenesis
K16701	Carbohydrate metabolism
K16703	Carbohydrate metabolism
K16704	Carbohydrate metabolism
K16710	Carbohydrate metabolism
K16711	Other
K16785	Transport
K16786	Transport
K16787	Transport
K16788	Cofactors/vitamins
K16789	Transport
K16841	Amino acid metabolism
K16842	Other
K16869	Carbohydrate metabolism
K16874	Other
K16898	Energy/central carbon
K16899	Energy/central carbon
K16901	Tryptophan metabolism
K16919	Transport
K16921	Transport
K16922	Transport
K16923	Transport
K16924	Transport
K16925	Transport
K16927	Transport
K16937	Cofactors/vitamins
K16957	Transport
K16958	Transport
K16959	Transport
K16960	Transport
K16961	Transport
K16962	Transport
K16963	Transport
K17073	Transport
K17074	Transport
K17076	Transport
K17103	Carbohydrate metabolism
K17204	Transport
K17205	Transport
K17208	Transport
K17209	Transport
K17210	Transport
K17213	Transport
K17216	Amino acid metabolism
K17217	Energy/central carbon
K17218	Energy/central carbon
K17237	Transport
K17240	Transport
K17242	Transport
K17247	Amino acid metabolism
K17318	Transport
K17319	Transport
K17320	Transport
K17463	Energy/central carbon
K17464	Carbohydrate metabolism
K17624	Carbohydrate metabolism
K17675	DNA replication/repair/maintenance
K17680	Other
K17686	Transport
K17713	Cell envelope/biogenesis
K17722	Cofactors/vitamins
K17723	Cofactors/vitamins
K17733	Cell envelope/biogenesis
K17736	Transcriptional regulation
K17737	Transcriptional regulation
K17758	Cofactors/vitamins
K17759	Cofactors/vitamins
K17810	Amino acid metabolism
K17828	Cofactors/vitamins
K17836	Antibiotic resistance/efflux
